"","Temperature","Precipitation","IndustrialActivity","WaterpH","NitrateLevels","PhosphateLevels"
"68",27.267,12.556,"Medium",7.512,13.312,0.233
"69",21.194,0.858,"High",7.627,12.788,1.484
"70",0.825,22.373,"High",6.961,18.474,1.937
"71",-8.066,9.288,"Low",7.061,8.097,0
"72",-3.678,0.283,"Low",7.392,9.44,1.549
"73",-0.263,0.298,"Low",7.783,6.637,1.152
"74",11.573,0.91,"High",7.606,15.875,1.228
"75",-1.117,7.513,"High",7.276,13.053,1.262
"76",22.371,35.184,"Low",7.184,9.344,2.527
"77",-9.645,13.495,"Medium",7.413,10.624,0.941
"78",6.897,14.554,"Medium",7.278,13.728,2.538
"79",13.148,3.003,"Medium",7.583,9.639,1.915
"80",-9.929,2.513,"Medium",7.446,9.181,2.189
"81",16.172,8.968,"High",7.5,13.066,0.398
"82",-2.894,7.921,"Medium",7.544,6.987,0.401
"83",6.156,3.316,"Low",7.391,3.299,1.972
"84",19.053,30.477,"High",7.126,13.798,3.521
"85",24.912,3.186,"High",7.34,9.251,0.698
"86",15.364,13.226,"Low",7.448,7.21,0.769
"87",0.517,9.208,"Low",7.475,4.183,1.772
"88",-5.951,7.136,"Medium",7.442,11.057,0.125
"89",-6.147,3.451,"Low",7.343,6.836,1.675
"90",3.735,2.723,"Medium",7.581,9.353,2.82
"91",20.034,23.443,"High",7.044,13.579,0.118
"92",-9.989,6.568,"Medium",7.362,6.564,0.699
"93",-0.614,22.457,"Low",7.207,3.616,2.834
"94",31.987,23.016,"Medium",7.715,12.415,3.649
"95",31.654,18.963,"Low",7.028,6.767,1.725
"96",23.034,12.685,"Medium",7.623,11.633,1.712
"97",4.988,0.01,"Low",7.729,8.557,1.334
"98",13.178,3.403,"High",7.455,19.005,2.437
"99",23.479,11.066,"High",7.506,12.786,2.429
"100",17.862,17.703,"High",7.233,11.983,1.579
"101",18.181,5.718,"High",7.355,10.389,0.889
"102",-0.228,17.863,"High",7.362,17.575,2.163
"103",-0.254,14.439,"Medium",7.364,10.964,0.905
"104",7.503,3.12,"Low",7.441,10.163,0
"105",32.411,14.2,"Low",7.641,5.8,1.192
"106",33.317,9.817,"High",7.547,15.308,1.76
"107",23.293,18.526,"High",7.512,18.003,2.076
"108",22.996,5.183,"High",7.409,12.828,1.152
"109",14.109,9.137,"Low",7.254,4.227,0
"110",-9.898,17.117,"Medium",7.621,11.966,1.973
"111",17.402,28.225,"High",7.3,13.193,2.677
"112",27.656,14.783,"Low",7.214,7.005,3.769
"113",23.819,18.034,"Medium",7.327,9.053,0
"114",10.373,0.391,"Low",7.372,5.882,0
"115",14.111,6.222,"Medium",7.467,7.084,1.643
"116",14.182,24.782,"Medium",7.469,7.936,0.991
"117",-9.938,15.589,"High",7.249,11.4,3.591
"118",6.005,1.044,"High",7.513,14.008,2.315
"119",17.546,5.371,"High",7.541,15.59,1.688
"120",27.302,15.98,"High",7.229,15.079,1.116
"121",6.052,10.315,"Low",7.059,4.542,1.698
"122",8.479,16.218,"Low",7.296,6.56,1.899
"123",15.806,7.586,"Medium",7.254,5.576,2.101
"124",16.536,10.962,"Low",7.577,6.332,1.034
"125",22.385,1.569,"High",7.469,13.687,0.933
"126",7.774,6.172,"Medium",7.406,6.998,1.699
"127",31.364,0.88,"Medium",7.175,11.247,1.631
"128",33.316,2.989,"Low",7.261,4.874,0.863
"129",0.509,3.807,"Medium",7.556,6.961,0.694
"130",22.602,27.98,"High",7.182,10.815,3.323
"131",30.664,1.847,"Medium",7.341,8.86,1.02
"132",17.156,1.588,"Low",7.188,5.771,0.023
"133",18.418,2.935,"High",7.895,13.16,0
"134",32.182,6.956,"Medium",7.658,8.468,2.257
"135",28.272,0.623,"Low",7.321,4.417,1.354
"136",16.092,0.486,"Medium",7.373,7.197,1.366
"137",26.963,18.832,"Medium",7.353,10.385,3.163
"138",-4.883,0.365,"Low",7.482,9.368,2.355
"139",24.403,17.825,"High",7.568,16.632,2.591
"140",18.063,1.251,"Medium",7.498,10.336,0
"141",-3.32,5.185,"Medium",7.462,9.944,0.846
"142",-6.388,3.339,"Medium",6.874,9.751,0
"143",10.883,16.08,"High",7.313,16.349,2.951
"144",25.072,1.381,"Medium",7.158,11.231,0.384
"145",23.009,14.864,"High",7.259,14.238,0
"146",26.775,21.438,"Medium",7.126,10.36,1.847
"147",-2.343,8.014,"Medium",7.51,13.645,0.93
"148",32.512,5.357,"Low",7.398,4.574,2.137
"149",3.213,20.317,"High",7.22,10.857,1.601
"150",-3.292,33.148,"Low",7.06,6.648,4.634
"151",22.372,30.147,"High",7.178,15.699,2.968
"152",4.584,8.314,"Low",7.095,6.57,0.282
"153",25.046,10.884,"Low",7.591,10.244,0
"154",7.75,4.749,"High",7.431,12.902,0.844
"155",20.537,6.998,"Low",7.582,4.795,0.583
"156",24.912,0.349,"Medium",7.928,10.008,0.637
"157",-1.546,5.189,"Medium",7.266,9.058,1.629
"158",-8.691,2.722,"Medium",7.699,13.134,0.511
"159",-3.893,20.178,"Medium",7.572,9.622,0.525
"160",20.607,0.003,"Low",7.674,4.064,2.62
"161",32.067,35.724,"Low",7.234,3.732,4.525
"162",14.772,38.612,"Low",7.459,5.379,5.331
"163",17.079,18.337,"Medium",7.225,6.418,2.696
"164",-1.135,20.526,"High",7.155,7.45,1.712
"165",14.086,13.769,"Low",7.409,7.646,1.703
"166",-1.92,9.126,"Medium",7.464,10.82,0.342
"167",10.335,6.674,"Low",7.669,3.332,2.244
"168",4.267,12.517,"Medium",7.596,9.239,0
"169",-4.772,7.292,"High",7.462,13.938,0.059
"170",-1.625,8.891,"Medium",7.356,11.393,2.952
"171",22.838,5.529,"Low",7.765,8.185,4.41
"172",8.534,9.086,"High",7.007,14.741,1.568
"173",8.632,0.311,"Low",7.353,6.652,2.873
"174",11.614,8.068,"Low",7.503,5.626,0.397
"175",9.237,10.237,"High",7.158,14.185,2.475
"176",-3.858,0.493,"High",7.56,14.505,0.729
"177",27.111,3.705,"Low",7.319,4.6,0
"178",16.654,11.003,"High",7.289,15.196,1.25
"179",25.748,6.793,"High",7.283,14.618,1.13
"180",24.606,0.737,"Low",7.69,6.54,0
"181",31.313,9.176,"Low",7.388,6.36,1.702
"182",28.818,14.906,"Medium",7.263,13.954,1.844
"183",4.264,3.951,"Low",7.609,5.755,2.72
"184",1.667,7.496,"Medium",7.914,8.547,2.504
"185",23.402,10.22,"Low",7.406,5.902,2.033
"186",23.631,10.475,"High",7.427,12.319,2.246
"187",31.306,15.362,"Low",7.684,4.12,0.582
"188",25.694,1.298,"High",7.526,9.392,3.182
"189",-4,4.251,"Medium",7.281,11.01,0
"190",2.949,24.392,"Medium",7.229,9.18,2.068
"191",-1.24,4.293,"Low",7.538,6.66,0
"192",25.285,9.491,"Medium",7.527,9.029,0.986
"193",-4.201,24.78,"High",7.04,12.182,4.42
"194",-4.191,0.407,"Low",7.835,7.019,1.528
"195",-6.749,3.88,"High",7.743,13.752,0.846
"196",-7.609,8.35,"Medium",7.52,8.155,2.175
"197",13.934,3.553,"Medium",7.35,12.67,0.536
"198",-4.946,7.626,"Low",7.384,6.54,1.978
"199",23.443,9.095,"Low",6.89,10.89,1.298
"200",22.909,2.324,"Low",7.237,11.885,0
"201",29.83,17.749,"High",7.067,14.773,3.366
"202",13.27,8.923,"Low",7.277,4.243,1.329
"203",28.337,7.505,"Low",7.759,7.579,1.162
"204",9.926,12.712,"High",7.325,12.08,0.376
"205",-2.895,26.1,"Low",7.328,10.956,3.853
"206",9.905,14.53,"High",7.247,16.44,0.666
"207",33.548,15.763,"Low",7.468,4.369,2.206
"208",11.806,11.923,"Medium",7.56,8.311,2.575
"209",1.361,12.121,"Low",7.625,5.914,3.231
"210",1.686,10.208,"Low",7.502,8.001,2.603
"211",14.391,6.483,"Medium",7.833,9.865,2.506
"212",19.244,14.476,"Medium",7.165,12.162,2.075
"213",5.139,21.647,"Low",7.409,3.258,1.853
"214",-7.257,0.32,"High",7.643,15.608,0
"215",10.309,4.14,"High",7.342,13.052,1.371
"216",27.744,0.696,"High",7.69,16.622,1.586
"217",15.859,3.161,"Low",7.554,9.32,0.127
"218",5.901,5.31,"Low",7.537,3.749,2.083
"219",14.634,0.101,"Low",7.738,7.233,0.526
"220",30.172,20.067,"Medium",7.284,6.425,2.386
"221",12.05,4.343,"Medium",7.586,11.541,1.223
"222",-2.277,5.362,"High",7.399,11.619,0.917
"223",14.436,4.128,"Medium",7.488,15.713,0
"224",33.266,19.193,"Medium",7.888,14.376,2.006
"225",4.116,8.847,"Low",7.235,7.644,0.321
"226",26.923,9.937,"High",7.532,14.336,0.715
"227",3.817,1.438,"Medium",8.056,9.792,1.922
"228",-1.655,2.675,"Medium",7.427,7.121,2.898
"229",-7.824,4.755,"Medium",7.795,8.093,2.083
"230",1.055,5.926,"High",7.206,12.896,0.751
"231",5.8,4.483,"Low",7.545,1.943,1.479
"232",-2.844,12.349,"Medium",7.167,9.131,1.917
"233",3.684,8.858,"High",7.115,12.91,1.764
"234",-9.21,29.098,"High",7.037,17.445,2.416
"235",34.845,2.502,"Low",7.266,6.99,0
"236",26.198,14.918,"High",7.263,14.745,2.306
"237",-6.104,11.855,"Low",7.206,5.559,0.999
"238",29.147,9.495,"Low",7.403,8.616,0.294
"239",14.956,6.304,"High",7.574,11.542,1.623
"240",8.962,11.664,"Low",7.199,10.936,1.438
"241",-6.956,9.975,"High",7.419,10.462,1.077
"242",15.265,13.088,"Medium",6.962,10.736,0.478
"243",-6.818,6.339,"Medium",7.465,10.276,0.843
"244",-0.487,24.054,"Low",7.343,6.479,3.138
"245",14.733,9.282,"Low",7.194,6.911,2.377
"246",11.689,2.73,"Low",7.582,6.288,0.386
"247",-2.824,3.978,"High",7.932,9.846,0.131
"248",-3.269,0.705,"Low",7.518,5.414,0
"249",12.467,2.844,"Low",7.415,4.771,1.245
"250",32.325,33.736,"Medium",7.701,9.069,3.88
"251",5.04,5.565,"High",7.599,10.662,0.126
"252",-1.52,1.698,"High",7.569,11.566,2.533
"253",2.137,24.816,"Low",7.573,7.807,3.388
"254",13.883,12.576,"Medium",7.704,9.293,1.946
"255",-9.035,18.468,"Medium",7.045,8.671,1.983
"256",25.944,14.553,"Medium",7.494,8.225,2.811
"257",-5.035,7.23,"Low",7.326,4.902,0.809
"258",14.291,1.065,"Medium",7.398,9.67,0.552
"259",15.706,15.708,"High",7.188,16.469,1.602
"260",17.853,6.547,"Low",6.953,8.248,1.091
"261",22.168,4.124,"High",7.621,15.146,1.39
"262",-4.451,15.125,"High",7.176,14.564,2.729
"263",3.997,43.087,"Low",7.329,8.16,3.264
"264",32.558,3.73,"Low",7.582,3.376,0
"265",12.501,3.624,"Low",7.064,4.074,2.033
"266",-3.915,2.831,"Medium",7.287,7.175,3.035
"267",29.117,0.746,"High",7.765,11.163,0
"268",-0.773,13.477,"Medium",7.26,9.213,3.112
"269",31.627,26.418,"High",6.798,8.259,2.822
"270",29.904,12.142,"High",8.018,13.804,2.299
"271",-3.867,19.703,"Low",7.418,5.397,1.418
"272",25.341,4.5,"High",7.4,15.349,2.17
"273",10.399,45.68,"Medium",7.508,10.645,4.103
"274",-3.892,5.227,"High",7.846,14.961,1.277
"275",29.835,4.336,"Low",7.553,6.111,2.272
"276",5.152,12.186,"High",7.058,15.124,2.312
"277",4.367,21.291,"Low",7.208,1.673,1.998
"278",8.17,3.818,"High",7.524,14.49,2.599
"279",11.558,14.062,"Medium",7.176,9.727,2.265
"280",6.556,8.584,"Low",7.222,3.63,1.226
"281",10.956,2.644,"Medium",7.32,10.428,0
"282",-7.755,12.532,"Medium",6.838,10.795,2.223
"283",-1.569,22.063,"Low",7.586,7.232,0.824
"284",34.22,2.67,"High",7.658,15.377,0
"285",4.772,38.223,"Medium",6.88,11.76,2.077
"286",-2.305,1.905,"Low",7.44,9.564,0
"287",11.971,7.981,"High",7.208,14.965,1.365
"288",-9.159,12.897,"Medium",7.503,11.647,0.744
"289",5.277,15.528,"Low",7.278,5.446,0.592
"290",-8.665,6.482,"Medium",7.688,7.883,0.876
"291",29.025,15.096,"Medium",7.547,13.347,2.313
"292",22.927,1.333,"High",7.101,11.342,1.16
"293",4.187,0.646,"Medium",7.374,8.721,1.628
"294",7.39,0.442,"High",7.238,14.773,0.338
"295",4.96,16.69,"High",7.311,13.491,2.197
"296",-5.96,0.391,"Medium",7.555,12.096,2.554
"297",24.068,15.814,"Medium",7.062,12.061,0.737
"298",17.134,16.58,"High",7.498,18.445,1.796
"299",-3.457,3.459,"High",7.633,15.205,2.118
"300",-8.537,4.879,"Low",7.671,9.22,1.483
