"Year","Month","SOI","Recruit"
1966,5,-0.333,93.18
1966,6,0.049,89.32
1966,7,-0.082,81.63
1966,8,0.191,71.44
1966,9,0.399,66.42
1966,10,0.093,80.02
1966,11,0.005,76.52
1966,12,0.366,77.51
1967,1,0.333,67.73001
1967,2,0.377,50.52
1967,3,0.071,48.97
1967,4,-0.158,50.64
1967,5,-0.541,38.73
1967,6,-0.683,30.79
1967,7,-0.683,23.75
1967,8,-0.344,26.28
1967,9,-0.301,36.67
1967,10,0.202,68.91001
1967,11,-0.126,97.39
1967,12,0.082,96.1
1968,1,0.115,90.3
1968,2,0.464,84.92
1968,3,0.104,91.41001
1968,4,-0.18,92.54
1968,5,-0.672,98.04
1968,6,0.104,99.96
1968,7,-0.486,88.83
1968,8,0.093,83.07
1968,9,0.279,86.32
1968,10,0.104,99.83
1968,11,0.18,96.62
1968,12,0.475,99.94
1969,1,0.53,96.89
1969,2,0.661,85.12
1969,3,0.355,77.97
1969,4,-0.344,67.38
1969,5,-0.038,44.5
1969,6,0.235,26.72
1969,7,0.486,13.25
1969,8,0.169,10.64
1969,9,0.333,23.83
1969,10,0.137,29.18
1969,11,0.169,26.91
1969,12,0.333,20.09
1970,1,0.705,22.33
1970,2,0.377,22.07
1970,3,0.585,26.2
1970,4,-0.126,29.81
1970,5,-0.213,30.1
1970,6,0.148,24.25
1970,7,-0.126,25.3
1970,8,-0.344,23.5
1970,9,-0.5080001,35.62
1970,10,0.279,52.11
1970,11,0.082,56.79
1970,12,0.355,69.09
1971,1,0.082,86.64
1971,2,0.574,99.28
1971,3,0.355,98.48001
1971,4,-0.257,98.45
1971,5,-0.377,94.76999
1971,6,-0.344,93.58
1971,7,-0.65,78.07
1971,8,-0.093,66.88
1971,9,-0.137,77.04
1971,10,0.115,88.72
1971,11,0.705,94.88
1971,12,0.399,99.67
1972,1,0.366,100
1972,2,0.366,99.9
1972,3,0.038,96.91001
1972,4,-0.268,66.88
1972,5,0.322,52.39
1972,6,0.082,40.61
1972,7,0.082,30.65
1972,8,0.06,32.04
1972,9,0.268,45.28
1972,10,0.421,35
1972,11,0.77,35.62
1972,12,0.803,36.98
1973,1,0.661,39.89
1973,2,0.716,36.88
1973,3,0.628,30.85
1973,4,0.191,19.33
1973,5,0.53,13.26
1973,6,0.18,11.12
1973,7,-0.464,9.140001
1973,8,0.279,8.21
1973,9,0.355,10.76
1973,10,0.202,10.43
1973,11,0.552,13.75
1973,12,0.617,37.91
1974,1,0.104,41.85
1974,2,0.224,44.67
1974,3,0.432,50.57
1974,4,-0.213,50.34
1974,5,-0.967,49.54
1974,6,-1,56.93
1974,7,-0.432,60.16
1974,8,-0.683,57.47
1974,9,-0.5080001,71.68
1974,10,-0.137,97.28
1974,11,0.082,62.09
1974,12,-0.06,59.97
1975,1,0.333,51.18
1975,2,0.355,51.48
1975,3,0.388,66.08
1975,4,-0.06,86.39
1975,5,-0.202,93.58
1975,6,0.005,99.9
1975,7,-0.115,93.86
1975,8,0.137,82.82
1975,9,0.454,84.83999
1975,10,0.388,89.51
1975,11,0.738,86.89
1975,12,0.77,87.15
1976,1,0.803,78.47
1976,2,0.836,55.93
1976,3,0.65,41.27
1976,4,0.005,19.66
1976,5,-0.366,9.439999
1976,6,0.071,4.66
1976,7,-0.005,2.36
1976,8,-0.454,1.72
1976,9,0.191,3.32
1976,10,0.432,12.13
1976,11,0.683,16.81
1976,12,0.388,24.3
1977,1,0.235,52.42
1977,2,-0.093,58.05
1977,3,0.475,59.42
1977,4,-0.082,57.52
1977,5,-0.617,60.13
1977,6,-0.093,64.68
1977,7,-0.071,74.94
1977,8,0.432,69.73001
1977,9,0.421,77.11
1977,10,0.497,97.93
1977,11,0.454,98.74
1977,12,0.596,98.88
1978,1,0.552,90.41001
1978,2,0.607,77.86
1978,3,0.464,61.48
1978,4,-0.301,47.66
1978,5,-0.77,30.74
1978,6,-0.65,20.11
1978,7,-0.694,12.08
1978,8,-0.137,8.97
1978,9,-0.464,20.03
1978,10,-0.246,71.54
1978,11,0.169,97.51999
1978,12,-0.202,95.14
1979,1,0.082,92.22
1979,2,0.607,80.09
1979,3,-0.158,74.59
1979,4,-0.454,83.66001
1979,5,-0.781,87.36
1979,6,-0.388,96.63
1979,7,0.18,93.36
1979,8,0.06,94.7
1979,9,-0.5080001,99.66001
1979,10,-0.268,91.6
1979,11,0.224,89.98001
1979,12,0.115,99.39
1980,1,0.399,99.46
1980,2,0.027,99.37
1980,3,0.016,99.51999
1980,4,-0.377,96.64
1980,5,-0.18,89.55
1980,6,-0.038,68.67
1980,7,-0.202,65.02
1980,8,0.137,61.82
1980,9,0.093,76.92
1980,10,-0.279,80.17
1980,11,-0.038,77.48001
1980,12,0.235,82.34
1981,1,0.169,74.11
1981,2,0.399,69.03
1981,3,0.158,79.48001
1981,4,-0.541,78.76
1981,5,-0.628,67.55
1981,6,0.027,59.98
1981,7,-0.738,44.35
1981,8,-0.913,41.18
1981,9,-0.027,71.53
1981,10,0.071,95.51999
1981,11,-0.126,93.48001
1981,12,0.049,98.18
1982,1,0.454,70.48001
1982,2,0.301,77.63
1982,3,-0.005,88.11
1982,4,-0.093,93.15
1982,5,-0.224,99.01
1982,6,-0.213,93.31
1982,7,-0.311,81.21
1982,8,-0.235,79.63
1982,9,-0.322,80.67
1982,10,0.322,85.63
1982,11,0.093,88.66001
1982,12,0.115,93.65
1983,1,0.77,95.49
1983,2,0.607,98.26999
1983,3,-0.158,86.19
1983,4,-0.235,79.69
1983,5,-0.202,72.26
1983,6,-0.333,35.06
1983,7,-0.158,20.98
1983,8,-0.224,29.67
1983,9,-0.355,42.09
1983,10,0.005,52.96
1983,11,0.454,69.45
1983,12,0.41,76.86
1984,1,0.519,86.19
1984,2,0.541,96
1984,3,0.301,96.07
1984,4,-0.574,86.85
1984,5,-0.344,76.66001
1984,6,-0.279,61.47
1984,7,-0.716,46.26
1984,8,-0.869,40.15
1984,9,-0.596,72.59
1984,10,-0.29,85.17
1984,11,-0.454,91.74
1984,12,-0.246,99.22
1985,1,-0.607,76.55
1985,2,-0.563,64.17
1985,3,-0.235,69.2
1985,4,-0.246,70.37
1985,5,-0.399,79.55
1985,6,-0.333,74.79
1985,7,-0.53,70.9
1985,8,-0.049,78.86
1985,9,0.158,84.28
1985,10,0.115,83.43
1985,11,0.322,85.55
1985,12,0.115,80.17
1986,1,0.049,90.82
1986,2,0.454,99.39
1986,3,0.158,99.18
1986,4,-0.421,89.1
1986,5,-0.268,82.18
1986,6,-0.311,77.64
1986,7,-0.115,55.93
1986,8,-0.322,49.73
1986,9,-0.322,70.12
1986,10,0.126,79.2
1986,11,0.333,87.83
1986,12,0.519,88.2
1987,1,0.399,94.83
1987,2,0.519,98.66001
1987,3,0.432,94.83999
1987,4,0.355,83.06
1987,5,-0.126,61.42
1987,6,-0.5080001,47.47
1987,7,-0.388,31.81
1987,8,0.388,22.95
1987,9,0.071,17.87
