# Weekly water quality data (E. coli, total coliform, and Enterococcus bacterial counts) were downloaded from San Mateo County Health Department 
# for San Pedro Creek, collected weekly since 2012, usually on Monday but sometimes on Tuesday, 
# but with the date recorded in the variable SAMPLE_DATE
"","SAMPLE_DATE","Total_Coliform","Ecoli"
"286",2015-09-08,426,4106
"287",2015-08-31,231,1211
"288",2015-08-24,228,5475
"289",2015-08-17,175,5794
"290",2015-08-10,594,8164
"291",2015-08-03,216,10462
"292",2015-07-27,158,6448
"293",2015-07-20,355,19863
"294",2015-07-13,1414,7701
"295",2015-07-06,670,4352
"296",2015-06-29,443,4106
"297",2015-06-22,426,3448
"298",2015-06-15,2187,17329
"299",2015-06-08,262,1860
"300",2015-06-01,373,2489
"301",2015-05-26,538,6488
"302",2015-05-18,211,4611
"303",2015-05-11,295,3654
"304",2015-05-04,2247,4352
"305",2015-04-27,457,11199
"306",2015-04-20,1374,9804
"307",2015-04-13,557,14136
"308",2015-04-06,3255,24196
"309",2015-03-30,691,4106
"310",2015-03-23,5172,24196
"311",2015-03-16,933,5475
"312",2015-03-09,323,3873
"313",2015-03-02,355,3654
"314",2015-02-23,677,4352
"315",2015-02-17,464,8664
"316",2015-02-09,776,24196
"317",2015-02-02,275,2613
"318",2015-01-26,637,2909
"319",2015-01-20,1664,8664
"320",2015-01-12,203,6867
"321",2015-01-05,631,9208
"322",2014-12-15,24196,24196
"323",2014-12-01,6867,24196
"324",2014-11-24,1178,12033
"325",2014-11-17,10,10
"326",2014-11-10,932,3873
"327",2014-11-03,1670,9208
"328",2014-10-27,3873,24196
"329",2014-10-20,336,24196
"330",2014-10-06,450,5794
"331",2014-09-29,4160,19863
"332",2014-09-22,1722,7270
"333",2014-09-15,2481,24196
"334",2014-09-02,1178,12997
"335",2014-08-25,988,10462
"336",2014-08-18,1086,7270
"337",2014-08-11,1076,5794
"338",2014-08-04,457,11199
"339",2014-07-28,2755,24196
"340",2014-07-21,5172,24196
"341",2014-07-14,677,19863
"342",2014-07-07,650,5475
"343",2014-06-30,2603,24196
"344",2014-06-23,512,4884
"345",2014-06-16,426,5794
"346",2014-06-09,305,3873
"347",2014-06-02,556,2613
"348",2014-05-19,216,3873
"349",2014-05-19,216,3873
"350",2014-05-12,836,4611
"351",2014-05-05,548,6867
"352",2014-04-28,364,6867
"353",2014-04-21,624,8664
"354",2014-04-14,504,3873
"355",2014-04-07,399,3654
"356",2014-03-31,1076,24196
"357",2014-03-24,275,4884
"358",2014-03-17,110,4884
"359",2014-03-10,341,6488
"360",2014-03-03,246,5475
"361",2014-02-24,399,4611
"362",2014-02-18,243,3076
"363",2014-02-10,908,24916
"364",2014-02-03,2014,12033
"365",2014-01-27,1500,2909
"366",2014-01-13,213,2333
"367",2014-01-06,789,2603
"368",2013-12-30,2723,2909
"369",2013-12-23,259,780
"370",2013-12-16,272,2187
"371",2013-12-09,754,4884
"372",2013-12-02,813,5475
"373",2013-11-25,882,5475
"374",2013-11-18,414,2851
"375",2013-11-12,1050,6131
"376",2013-11-04,1119,6131
"377",2013-10-28,529,6488
"378",2013-10-21,554,5172
"379",2013-10-07,1287,6867
"380",2013-09-30,1607,11199
"381",2013-09-23,4106,24196
"382",2013-09-09,620,19863
"383",2013-09-03,1050,6131
"384",2013-08-26,2481,9208
"385",2013-08-19,906,6131
"386",2013-08-12,464,4884
"387",2013-08-05,341,6488
"388",2013-07-29,1354,9208
"389",2013-07-22,1236,8664
"390",2013-07-15,110,384
"391",2013-07-08,1198,6131
"392",2013-07-01,495,8446
"393",2013-06-24,1664,8664
"394",2013-06-17,389,5794
"395",2013-06-10,384,7701
"396",2013-06-03,464,5794
"397",2013-05-28,813,24196
"398",2013-05-20,441,5172
"399",2013-05-13,548,3448
"400",2013-05-06,754,6867
"401",2013-04-29,241,3654
"402",2013-04-22,359,1576
"403",2013-04-15,158,3282
"404",2013-04-08,327,2382
"405",2013-04-01,2613,19863
"406",2013-03-25,213,1450
"407",2013-03-18,309,3448
"408",2013-03-11,428,3448
"409",2013-03-04,134,2613
"410",2013-02-25,213,3255
"411",2013-02-19,6488,24196
"412",2013-02-11,670,7270
"413",2013-02-04,435,4106
"414",2013-01-28,305,2603
"415",2013-01-22,355,2359
"416",2013-01-14,269,2014
"417",2013-01-07,73,1725
"418",2012-12-17,5475,24196
"419",2012-12-10,203,8664
"420",2012-12-03,2105,24196
"421",2012-11-26,1391,4611
"422",2012-11-19,1597,9208
"423",2012-11-13,906,8664
"424",2012-11-05,816,11199
"425",2012-10-29,395,9804
"426",2012-10-22,19863,24196
"427",2012-10-15,1374,10462
"428",2012-10-09,884,4360
"429",2012-10-01,663,9208
"430",2012-09-10,1722,10462
"431",2012-09-04,2247,5475
"432",2012-08-27,703,11199
"433",2012-08-20,435,7270
"434",2012-08-13,1565,9804
"435",2012-08-06,223,2755
"436",2012-07-30,480,4106
"437",2012-07-23,776,6294
"438",2012-07-16,785,10462
"439",2012-07-02,657,12033
"440",2012-06-25,135,6488
"441",2012-06-18,1236,3255
"442",2012-06-11,373,5172
"443",2012-06-04,2187,14136
"444",2012-05-29,256,4884
"445",2012-05-21,691,10462
"446",2012-05-14,464,3130
"447",2012-04-02,272,4352
"448",2012-03-26,3282,9606
"449",2012-03-19,404,24196
"450",2012-03-12,2489,6867
"451",2012-03-05,323,3255
"452",2012-02-27,1291,2909
"453",2012-02-21,241,2495
"454",2012-02-14,1723,9208
"455",2012-02-06,420,2489
"456",2012-01-30,291,2613
"457",2012-01-23,933,24196
