"ID","XCOO","YCOO","ELEV","COUN","ASP","TOPC","LITO","Ag","Ag_INAA","Al","Al_XRF","Al2O3","As","As_INAA","Au","Au_INAA","B","Ba","Ba_INAA","Be","Bi","Br_IC","Br_INAA","Ca","Ca_INAA","Ca_XRF","CaO","Cd","Ce_INAA","Cl_IC","Co","Co_INAA","Cr","Cr_INAA","Cs_INAA","Cu","EC","Eu_INAA","F_IC","Fe","Fe_INAA","Fe_XRF","Fe2O3","Hf_INAA","Hg","Hg_INAA","Ir_INAA","K","K_XRF","K2O","La","La_INAA","Li","LOI","Lu_INAA","Mg","Mg_XRF","MgO","Mn","Mn_XRF","MnO","Mo","Mo_INAA","Na","Na_INAA","Na_XRF","Na2O","Nd_INAA","Ni","Ni_INAA","NO3_IC","P","P_XRF","P2O5","Pb","Pd","pH","PO4_IC","Pt","Rb","S","Sb","Sb_INAA","Sc","Sc_INAA","Se","Se_INAA","Si","Si_XRF","SiO2","Sm_INAA","Sn_INAA","SO4_IC","Sr","Sr_INAA","Ta_INAA","Tb_INAA","Te","Th","Th_INAA","Ti","Ti_XRF","TiO2","U_INAA","V","W_INAA","Y","Yb_INAA","Zn","Zn_INAA"
12,718237,7620000,180,"RUS","NW",25,20,0.009,2.5,5520,79100,14.96,0.2,0.25,0.28142,0.005,1.5,48.7,460,0.12,0.015,0.001,5.4,2630,50000,35100,4.92,0.016,36,0.001,5.8,17,25.5,180,0.5,10.3,0.16,1.1,0.0005,9490,40400,34300,4.91,6,0.01,0.5,0.0025,1100,8300,1,8.1,18,3.5,0.76,0.39,4080,15800,2.63,93.5,610,0.08,0.1,0.5,180,35500,29700,4.01,17,37.7,10,0.0005,617,610,0.14,0.8,0.42793,6,0.002,0.95874,28,13,0.005,0.05,1.5,16,0.005,1.5,120,306100,65.5,3.4,50,1,9.2,600,1,0.25,0.007,1.5,1.8,567,3170,0.53,0.25,21.7,0.5,2.8,2.1,13.3,66
13,427280,7490000,240,"FIN","SW",40,7,0.005,2.5,12400,66300,12.53,6.6,4.8,1.13634,0.001,3,31.2,490,0.38,0.046,0.001,0.25,2120,10000,17500,2.46,0.044,39,0.001,12,15,65.4,120,0.5,31.1,0.23,1.1,0.0005,26900,40100,33900,4.86,6,0.02,0.5,0.0025,800,16900,2.04,12.7,21,7.8,1.9,0.31,5620,11000,1.83,246,540,0.07,0.3,0.5,130,30000,25400,3.43,18,29.8,10,0.0023,385,340,0.08,2.6,0.88063,5.9,0.002,1.38199,90,15,0.056,0.05,4.8,17,0.067,1.5,120,324400,69.42,3.4,50,5,9.8,250,0.25,0.25,0.017,9,5.5,1280,4130,0.69,1.4,58.1,0.5,6.2,2,25.7,64
16,597300,7700000,100,"NOR","NW",32,52,0.007,2.5,5320,72300,13.66,0.6,0.25,0.47332,0.003,3,30.7,420,0.11,0.032,0.001,3.3,1780,40000,24200,3.4,0.025,17,0.001,3.9,10,12,45,0.5,14.4,0.18,0.7,0.0005,8570,27200,26700,3.82,2,0.01,0.5,0.0025,1300,12200,1.47,5.7,9.1,5.3,0.85,0.21,2630,9500,1.59,110,460,0.06,0.1,0.5,110,29100,25800,3.48,8,7.9,10,0.0005,338,260,0.06,2,1.39772,5.4,0.002,0.86141,31,19,0.011,0.05,1.5,12,0.028,1.5,170,329400,70.48,1.6,50,2,4.9,250,0.25,0.25,0.01,1.5,1.7,549,2030,0.34,1,19.9,0.5,2.2,1,19.3,56
17,667085,7680000,170,"RUS","FLAT",31,21,0.015,2.5,4360,71400,13.5,0.6,0.25,0.76588,0.001,1.5,17,620,0.13,0.03,0.001,0.25,2750,20000,28100,3.94,0.033,45,0.003,4.9,13,18.3,80,0.5,15.5,0.14,1.4,0.0005,8590,40100,36200,5.18,8,0.01,0.5,0.0025,400,10500,1.27,10.7,24,3,0.58,0.43,1790,11300,1.88,93.9,610,0.08,0.1,0.5,220,30100,24300,3.28,24,10.5,10,0.0005,499,480,0.11,1.1,0.67378,5.5,0.002,0.83193,40,13,0.005,0.05,1.8,18,0.033,1.5,160,323700,69.27,3.7,50,3,6.5,250,0.25,0.25,0.007,4,4.3,601,4010,0.67,0.25,25.7,0.5,4.6,3.2,11.3,25
18,594611,7550000,280,"FIN","N",42,1,0.008,2.5,9520,59100,11.18,0.4,0.25,0.31047,0.003,1.5,80.5,390,0.15,0.011,0.001,3.6,720,20000,19900,2.79,0.029,28,0.001,10.5,20,60.7,270,0.5,17.6,0.16,0.7,0.0005,15300,34600,31000,4.44,4,0.02,0.5,0.0025,1900,5300,0.64,8.6,16,7.2,1.74,0.17,4070,16200,2.69,186,540,0.07,0.1,0.5,70,27700,23000,3.11,13,25.8,10,0.0005,234,210,0.05,1.7,1.12316,6.1,0.002,1.35849,34,25,0.012,0.05,1.6,12,0.078,1.5,260,338800,72.49,2.2,50,3,4.8,250,0.25,0.25,0.008,4,2.7,680,2150,0.36,0.25,28.9,0.5,1.7,1.1,33.5,105
19,514744,7580000,280,"FIN","S",30,31,0.009,2.5,18000,84100,15.89,1.3,2.2,1.91432,0.001,1.5,150,650,0.17,0.038,0.001,4.3,250,5000,5500,0.78,0.041,94,0.001,10,14,35.4,110,0.5,34.1,0.19,1.5,0.0005,29700,57900,58100,8.31,6,0.01,0.5,0.0025,4100,20100,2.43,18,51,6.5,2.19,0.73,6190,14200,2.37,186,540,0.07,0.1,0.5,90,8200,6600,0.89,36,36.8,10,0.0005,125,210,0.05,4.3,1.79115,6.1,0.002,2.24289,79,15,0.011,0.05,6.4,23,0.07,1.5,140,306800,65.65,6.8,50,4,5,250,0.25,0.25,0.043,10,14,1060,4250,0.71,0.25,45.6,3,7.6,4.8,47.9,131
20,710133,7570000,210,"RUS","SE",35,1,0.007,2.5,11700,74900,14.16,0.3,0.25,0.35983,0.001,4,54.8,600,0.25,0.016,0.001,0.25,2500,20000,25900,3.63,0.031,39,0.002,10.1,18,29.6,140,1,27.8,0.17,1,0.0014,17000,40200,38400,5.5,4,0.01,0.5,0.0025,1900,15700,1.9,22.6,26,11.5,1.61,0.27,4410,12900,2.14,262,690,0.09,0.1,0.5,200,29400,25500,3.45,22,31.8,10,0.0005,651,480,0.11,1.4,0.84057,5.9,0.002,1.33639,37,26,0.013,0.05,2.8,14,0.048,1.5,160,308600,66.04,3.7,50,2,8.4,250,0.25,0.25,0.012,8,5.6,1070,3470,0.58,0.25,34.2,0.5,5.5,1.8,30,25
21,439900,7650000,280,"NOR","W",23,1,0.005,2.5,10600,77400,14.63,0.3,0.25,1.57548,0.001,3,93.2,740,0.26,0.015,0.001,2.9,3950,30000,31800,4.45,0.025,63,0.001,8.7,17,40.9,120,0.5,14,0.19,1.5,0.0005,15700,40500,36700,5.25,5,0.01,0.5,0.0025,1700,9700,1.18,26.7,37,4.5,1.52,0.27,5410,16200,2.69,170,610,0.08,0.1,0.5,220,36600,29800,4.03,25,21.8,10,0.0005,860,740,0.17,1.5,0.44593,5.8,0.002,1.1787,35,18,0.005,0.05,2.6,17,0.023,1.5,120,304500,65.15,4.8,50,3,19.3,700,1.5,1.5,0.0015,8,5.4,1070,3530,0.59,0.25,46.3,0.5,4,1.8,21.2,25
22,734135,7670000,100,"RUS","FLAT",44,21,0.012,2.5,13600,77200,14.59,0.5,0.25,0.73657,0.002,4,124,640,0.4,0.055,0.001,9.7,6940,40000,33300,4.67,0.044,93,0.003,10.8,20,44.6,150,0.5,29.4,0.24,1.8,0.0005,21500,46600,42800,6.13,7,0.02,0.5,0.0025,2400,13200,1.59,22,39,9.7,1.88,0.38,6410,16100,2.67,301,770,0.1,0.1,0.5,650,33200,26500,3.58,31,31,10,0.0005,1330,1170,0.27,2.1,0.55841,6.4,0.002,1.22717,49,43,0.012,0.05,4.4,19,0.037,1.5,140,289400,61.93,6,50,3,32.5,250,2.1,0.9,0.014,10,7.6,1360,4910,0.82,2.2,50.1,0.5,7.9,2.1,33.3,119
23,787098,7500000,140,"RUS","FLAT",45,1,0.007,2.5,5440,70300,13.3,0.2,0.25,0.54249,0.001,3,24.8,400,0.17,0.033,0.001,3.7,2900,20000,30500,4.28,0.018,37,0.001,5.2,15,27.8,240,0.5,22.3,0.19,0.9,0.0005,8780,30400,30100,4.31,6,0.01,0.5,0.0025,700,11500,1.39,9,16,3.8,1.12,0.26,2860,12500,2.08,120,540,0.07,0.1,0.5,220,32200,26300,3.55,11,15.5,10,0.0005,443,430,0.1,1.2,0.94147,5.8,0.002,1.20306,59,24,0.005,0.05,1.7,14,0.028,1.5,140,324900,69.52,2.7,50,5,12,250,0.25,0.9,0.01,3,2.7,636,2930,0.49,0.25,21.5,0.5,3.5,1.7,10.8,68
24,624400,7540000,160,"RUS","FLAT",41,51,0.008,2.5,9380,71200,13.46,0.3,0.25,0.46888,0.001,3,33.8,580,0.21,0.084,0.001,2.8,1950,30000,24000,3.36,0.023,31,0.001,5.7,12,36.2,180,1,9.5,0.16,0.9,0.0005,9510,28700,28100,4.03,6,0.01,0.5,0.0025,1000,12300,1.49,12.8,19,12,1.6,0.25,3310,12700,2.11,105,460,0.06,0.1,0.5,120,30800,26100,3.53,14,31.5,10,0.0005,505,480,0.11,1.5,0.48411,6.3,0.002,1.31889,45,16,0.005,0.05,1.7,12,0.022,1.5,130,320400,68.57,2.6,50,3,11.7,700,0.25,0.25,0.011,5,4.1,676,2870,0.48,1.8,20,0.5,3.1,1.7,24.4,25
25,627700,7480000,280,"RUS","FLAT",,1,0.007,2.5,6060,60600,11.45,1,0.25,0.86201,0.001,3,25.7,390,0.13,0.264,0.001,3,840,20000,14500,2.04,0.019,16,0.001,3.8,9,23.5,110,1,9.6,0.2,0.4,0.0005,6650,20100,23000,3.29,3,0.01,0.5,0.0025,900,9100,1.1,4,9.7,9.4,1.43,0.17,2270,8000,1.34,68.3,540,0.07,0.1,0.5,70,20300,16800,2.27,9,17.4,10,0.0005,195,210,0.05,1.1,0.37622,5.6,0.002,1.07632,38,19,0.005,0.1,1.7,7.7,0.038,1.5,280,352100,75.35,1.5,50,4,3.8,250,0.25,0.25,0.02,1.5,3.2,334,1910,0.32,0.25,15.6,0.5,1.4,0.8,12.8,67
26,386646,7540000,300,"FIN","S",36,1,0.004,2.5,8410,74000,13.99,0.4,0.25,0.80702,0.001,1.5,37.5,700,0.27,0.04,0.001,0.25,3870,30000,37000,5.19,0.023,27,0.001,15.2,27,16.6,64,1,83.6,0.2,1,0.0005,15400,54700,53200,7.62,3,0.01,0.5,0.0025,1200,13600,1.64,12.7,15,9.5,1.47,0.29,3540,17800,2.96,207,770,0.1,0.4,7,330,30100,28400,3.84,13,17.6,10,0.0005,469,520,0.12,1.9,1.0972,5.6,0.002,1.34732,64,30,0.016,0.2,3.2,20,0.101,1.5,180,290500,62.16,2.6,50,7,7.8,500,0.25,0.25,0.029,5,4,1160,5090,0.85,1.4,42.3,0.5,4.8,1.9,14.9,98
27,713892,7740000,160,"RUS","SW",30,9,0.01,2.5,23200,79200,14.97,2.6,4.5,1.19623,0.001,4,29.6,610,0.93,0.149,0.001,0.25,2600,5000,8100,1.14,0.042,83,0.003,17.5,20,50.2,98,4,44.2,0.27,1.1,0.0005,32200,40700,36500,5.22,6,0.02,0.5,0.0025,1000,23400,2.82,21.4,35,26.2,3.59,0.41,12500,14300,2.38,384,460,0.06,0.1,0.5,60,23200,18500,2.5,23,41.7,10,0.0005,517,520,0.12,5.8,0.79846,5.9,0.002,1.61571,120,19,0.073,0.6,5,16,0.064,1.5,140,312700,66.92,4.7,50,2,23.3,250,0.25,0.25,0.021,14,12,1130,4010,0.67,2.7,47.3,0.5,7.7,2.2,67.6,124
28,579500,7650000,110,"RUS","FLAT",32,20,0.011,2.5,6170,73200,13.84,0.2,0.25,1.55056,0.001,1.5,40.5,570,0.15,0.011,0.001,3.5,2540,20000,27200,3.81,0.021,46,0.001,5.1,15,15.7,92,1,33.6,0.2,1.2,0.0005,10900,40600,39300,5.63,5,0.01,0.5,0.0025,1000,10700,1.29,10.2,24,3.9,0.8,0.38,2640,13000,2.17,106,610,0.08,0.1,0.5,240,26600,21700,2.93,21,10.5,10,0.0005,381,430,0.1,1.4,1.66496,5.6,0.002,1.34956,35,13,0.005,0.05,2.3,18,0.039,1.5,180,323200,69.15,3.8,50,1,7.2,250,0.25,0.25,0.006,5,4.9,612,3170,0.53,0.25,27.6,0.5,3.5,2.5,13.9,80
32,626978,7710000,80,"RUS","SE",45,52,0.009,2.5,15100,79800,15.09,1,0.25,3.28286,0.001,3,73.5,580,0.28,0.025,0.001,7.5,4520,30000,29000,4.06,0.052,64,0.002,12.5,19,46.5,110,0.5,55.4,0.51,1.6,0.0005,23400,48700,45800,6.55,8,0.02,0.5,0.0025,1400,11000,1.33,16.7,32,6,1.91,0.5,7160,16500,2.75,273,690,0.09,0.1,0.5,390,25300,22200,3,26,35.7,10,0.0005,584,610,0.14,1.6,1.30853,5.8,0.002,0.83658,38,36,0.021,0.05,5.7,23,0.056,1.5,170,298700,63.92,5.3,50,21,14.3,250,0.25,0.7,0.014,7,5.8,1550,4610,0.77,0.25,58.9,0.5,8,3.2,30.3,97
33,649400,7730000,200,"NOR","E",28,20,0.005,2.5,7250,75400,14.26,0.9,1.7,9.90102,0.001,3,19.4,500,0.16,0.014,0.001,12,3260,30000,29300,4.1,0.025,48,0.003,5,11,22.5,75,0.5,17.7,0.37,1.3,0.0005,12400,36500,34900,4.99,8,0.01,0.5,0.0025,600,10700,1.3,10.4,22,3.7,1.46,0.41,2660,11400,1.9,149,610,0.08,0.1,0.5,180,29600,25800,3.48,22,13.9,10,0.0005,704,690,0.16,1.1,1.03562,5.4,0.002,0.25,35,38,0.014,0.05,2.4,18,0.094,1.5,160,315400,67.49,4.3,50,6,9.8,800,0.25,0.25,0.0015,5,5.1,904,3710,0.62,0.25,32.5,0.5,5,2.5,20.6,25
34,454319,7580000,275,"FIN","NE",45,51,0.004,2.5,19900,70100,13.25,0.9,2.5,0.56174,0.001,1.5,54.4,720,0.94,0.064,0.001,0.25,1400,5000,19300,2.71,0.029,110,0.002,14.3,20,59.4,160,0.5,31.6,0.27,2.2,0.0005,27800,49900,44300,6.34,12,0.03,0.5,0.0025,900,19400,2.34,40.2,51,8.9,2.93,1.08,3510,12400,2.07,254,610,0.08,0.1,0.5,150,25800,21500,2.9,45,31.1,10,0.0005,172,170,0.04,5.2,1.49087,5.5,0.002,1.38688,86,24,0.02,0.05,7.2,20,0.082,1.5,140,302500,64.74,10,50,8,7.7,500,1.2,1.2,0.013,13,8,1910,4130,0.69,3.1,57,0.5,36.6,7.7,39.8,124
35,768134,7540000,170,"RUS","W",35,20,0.016,2.5,46600,93200,17.61,1.4,2.4,0.65695,0.011,1.5,286,1200,3.97,0.043,0.001,0.25,2160,5000,18100,2.54,0.061,260,0.002,5.5,8,28.8,60,2,14.6,0.66,5.1,0.0005,11000,41100,40000,5.72,21,0.02,0.5,0.0025,3100,30800,3.71,128,170,10.6,7.17,0.63,3330,8500,1.42,361,1540,0.2,0.9,0.5,3220,30000,30400,4.1,110,20.1,10,0.0005,405,650,0.15,4.8,1.32736,5.9,0.002,0.76261,130,44,0.039,0.3,1.6,6,0.076,1.5,190,257300,55.06,16,50,13,618,1000,8.8,1.8,0.0015,17,13,1450,7250,1.21,4.2,22,0.5,33.6,4.2,70.1,130
36,487156,7770000,280,"NOR","W",39,32,0.017,2.5,7530,65500,12.39,0.3,0.25,2.74442,0.004,1.5,49.9,730,0.19,0.008,0.001,0.25,1040,10000,11700,1.64,0.031,60,0.001,5.9,10,17.8,69,0.5,19.5,0.21,1.5,0.0005,12000,33600,36300,5.2,4,0.01,0.5,0.0025,600,15100,1.83,8.6,34,6,1.13,0.37,3100,11800,1.97,86.7,460,0.06,0.1,0.5,110,16600,12100,1.64,21,19.8,10,0.0005,169,260,0.06,3.4,0.69172,6,0.002,1.25835,52,13,0.011,0.05,1.9,13,0.059,1.5,120,346200,74.07,3.4,50,1,8.3,250,0.25,0.25,0.021,5,3.9,424,3230,0.54,1.1,27.4,0.5,2.6,2.4,30.5,25
37,677976,7640000,200,"RUS","E",43,22,0.006,2.5,4700,81500,15.4,0.1,0.25,0.51791,0.001,1.5,53.7,610,0.1,0.0025,0.001,0.25,1840,40000,33000,4.62,0.023,51,0.001,4.2,16,20.6,130,0.5,11.7,0.14,1.6,0.0005,10300,51300,56300,8.06,6,0.01,0.5,0.0025,1100,9400,1.14,8.5,28,3.7,0.56,0.52,2120,19300,3.21,66,920,0.12,0.1,0.5,160,28200,21800,2.94,19,11.7,10,0.0005,469,650,0.15,1,0.6272,5.7,0.002,0.80693,36,23,0.005,0.05,1.4,22,0.026,1.5,140,294000,62.92,4.2,50,1,7.3,250,0.25,0.8,0.007,4,3.7,560,6110,1.02,1.8,30.9,0.5,3.6,3.4,15.5,25
38,439125,7530000,240,"FIN","W",31,51,0.051,2.5,35000,77300,14.61,12,15,1.64921,0.001,1.5,46.8,540,0.61,0.044,0.001,4.8,1570,20000,13100,1.84,0.115,29,0.003,28.2,30,80.5,130,0.5,71.8,0.49,0.9,0.0005,59000,65000,62600,8.96,4,0.03,0.5,0.0025,700,13600,1.64,8.5,15,25.2,5.77,0.28,15500,18700,3.11,770,920,0.12,1,0.5,80,22100,19100,2.58,7,48.1,10,0.0005,368,390,0.09,4.9,1.61589,5.7,0.002,1.15774,56,45,0.255,0.8,13.5,26,0.117,1.5,100,281100,60.16,2.3,50,6,8.1,250,1,0.25,0.021,11,5.4,2550,5690,0.95,2.6,161,0.5,6.1,2,85.6,88
39,749247,7540000,170,"RUS","S",55,6,0.015,2.5,15100,74500,14.08,0.4,0.25,0.63003,0.001,3,53.7,300,0.2,0.021,0.001,10,4800,40000,39500,5.53,0.02,25,0.003,7.7,24,39.4,290,0.5,41.2,0.5,0.9,0.0005,15500,54600,50700,7.25,5,0.01,0.5,0.0025,1700,10300,1.25,8.4,14,5.6,3.26,0.34,4690,23000,3.83,147,770,0.1,0.1,0.5,510,26900,22400,3.02,12,33.6,10,0.0013,559,520,0.12,1,3.42112,5.9,0.002,4.29693,32,60,0.005,0.05,2.9,23,0.109,1.5,150,275500,58.95,2.9,50,9,14.7,250,0.25,0.25,0.011,4,2.6,917,4070,0.68,1.5,39.3,0.5,4.5,2.3,19.9,62
40,458010,7740000,310,"NOR","NW",61,32,0.011,2.5,14500,73700,13.94,0.3,0.25,1.20098,0.001,3,48.5,610,0.26,0.018,0.001,15,1150,30000,19500,2.74,0.021,60,0.002,8.9,19,48.6,180,0.5,18.2,0.33,1.1,0.0005,17600,58800,53800,7.7,6,0.01,0.5,0.0025,800,13300,1.61,9.7,30,8,2.59,0.55,3920,19600,3.26,101,690,0.09,0.1,0.5,170,18000,15800,2.14,20,26,10,0.0005,233,300,0.07,2,0.86139,5.9,0.002,1.1576,47,44,0.014,0.05,2.9,25,0.072,1.5,220,303100,64.85,4.7,50,4,5.9,250,0.25,0.9,0.01,5,7.9,716,4790,0.8,0.25,49,0.5,3.4,3.7,23.8,25
